year,customer_id,customer_name,total_sales,total_quantity,year_rank,total_rank
2014,SM-20320,Sean Miller,23661.24,25,1,1
2014,SC-20095,Sanjit Chand,12876.48,35,2,5
2014,BM-11140,Becky Martin,10539.90,37,3,7
2014,KL-16645,Ken Lonsdale,8694.63,18,4,13
2014,TB-21400,Tom Boeckenhauer,8057.66,26,5,16
2014,GT-14710,Greg Tran,6391.78,21,6,23
2014,SB-20290,Sean Braxton,6277.72,38,7,25
2014,NM-18445,Nathan Mautz,5370.39,22,8,34
2014,NP-18700,Nora Preis,5168.92,34,9,37
2014,MW-18220,Mitch Webber,5030.44,39,10,38
2015,PF-19120,Peter Fuller,9022.32,68,1,12
2015,KD-16495,Keith Dawkins,7039.04,35,2,19
2015,CM-12385,Christopher Martinez,6682.26,15,3,21
2015,FH-14365,Fred Hopkins,6056.09,22,4,29
2015,NW-18400,Natalie Webber,5511.31,36,5,32
2015,SB-20185,Sarah Brown,5414.25,31,6,33
2015,JH-15985,Joseph Holt,5352.78,29,7,35
2015,HM-14860,Harry Marie,5217.45,17,8,36
2015,CB-12025,Cassandra Brandow,4662.56,55,9,39
2015,QJ-19255,Quincy Jones,4409.85,6,10,40
2016,TC-20980,Tamara Chand,18344.05,20,1,2
2016,CC-12370,Christopher Conant,11901.19,22,2,6
2016,AB-10105,Adrian Barton,10403.87,18,3,9
2016,SE-20110,Sanjit Engle,9879.22,44,4,10
2016,BS-11365,Bill Shonely,9192.88,17,5,11
2016,EH-13765,Edward Hooks,7937.51,74,6,17
2016,JE-15715,Joe Elijah,7587.99,63,7,18
2016,LA-16780,Laura Armstrong,6451.23,61,8,22
2016,KD-16270,Karen Daniels,6317.16,24,9,24
2016,JD-15895,Jonathan Doherty,6105.13,88,10,27
2017,RB-19360,Raymond Buch,14203.28,27,1,3
2017,TA-21385,Tom Ashbrook,13723.50,22,2,4
2017,HL-15040,Hunter Lopez,10522.55,5,3,8
2017,GT-14635,Grant Thornton,8167.42,6,4,14
2017,SV-20365,Seth Vernon,8068.55,63,5,15
2017,TS-21370,Todd Sumrall,6702.29,24,6,20
2017,RW-19540,Rick Wilson,6193.45,51,7,26
2017,HW-14935,Helen Wasserman,6064.43,34,8,28
2017,PK-19075,Pete Kriz,5979.13,42,9,30
2017,AR-10540,Andy Reiter,5820.58,17,10,31
